car_id,price,Kilometers,hp,Brand,age,Users,gas,CC,Weight,QuartTax,door,ind_red_YES,ind_Automatic_YES,ind_Owner_gender_F,ind_Sport_YES,ind_Metalilic_YES,Kilometers_miss,gas_miss,Weight_miss
3548,48750,112951.59803318992,110,6,7,1,590.0,1800,1170.0,100,4,0,1,0,1,0,1,0,0
903,16610,112951.59803318992,110,3,8,1,391.0,2200,1250.0,270,4,0,1,1,0,1,1,0,0
3903,27100,3040.0,110,2,8,1,478.0,1900,1186.0,120,4,1,1,0,1,0,0,0,0
5098,24240,4690.0,110,5,8,1,420.51064684612294,1800,1170.0,100,4,0,1,0,0,0,0,1,0
3364,13030,5820.0,110,5,9,1,420.51064684612294,2200,1250.0,80,4,0,0,1,0,1,0,1,0
2854,13940,106710.0,110,6,9,1,357.0,2200,1250.0,80,4,0,0,1,0,1,0,0,0
4187,22190,8610.0,110,4,9,1,360.0,1900,1186.0,160,4,1,1,1,0,0,0,0,0
460,51300,11040.0,192,3,9,1,380.0,1900,1186.0,160,4,1,1,1,0,0,0,0,0
3587,35050,12720.0,192,5,10,2,617.0,1600,1165.0,100,2,0,1,0,1,0,0,0,0
1880,17290,11490.0,110,2,9,2,382.0,1600,1165.0,100,2,1,1,0,0,0,0,0,0
2129,14000,12180.0,110,5,9,1,323.0,2200,1189.3311201542085,190,4,0,0,1,0,0,0,0,1
3885,82540,17700.0,192,6,10,1,323.0,1900,1186.0,160,4,0,1,1,0,0,0,0,0
1341,19840,15330.0,110,1,9,1,575.0,2200,1195.0,210,4,0,1,0,1,0,0,0,0
973,13230,16380.0,192,2,11,2,379.0,1600,1165.0,100,2,0,0,0,0,0,0,0,0
2828,13000,17660.0,90,5,10,1,401.0,2200,1250.0,80,4,0,0,1,0,1,0,0,0
1928,14850,17670.0,90,5,10,1,426.0,1800,1170.0,120,4,0,0,0,0,0,0,0,0
60,12690,21020.0,90,2,10,1,587.0,1800,1170.0,120,4,1,0,0,1,0,0,0,0
5105,19420,14650.0,70,4,11,1,364.0,2000,1195.0,160,4,0,1,1,0,0,0,0,0
4652,38230,105920.0,192,1,10,1,390.0,2200,1250.0,270,4,0,1,1,0,1,0,0,0
5127,18850,16200.0,70,2,9,1,374.0,1800,1170.0,100,4,0,1,0,0,0,0,0,0
2097,14690,17770.0,110,6,12,1,543.0,2000,1195.0,160,4,0,0,0,1,0,0,0,0
1320,12500,25180.0,192,2,11,1,473.0,1900,1189.3311201542085,120,4,0,0,0,1,0,0,0,1
557,12160,22290.0,192,1,11,1,623.0,1900,1186.0,160,4,1,0,0,1,0,0,0,0
1011,26080,18820.0,192,1,10,1,331.0,1800,1170.0,120,4,0,1,0,0,0,0,0,0
3796,21810,21800.0,70,5,12,1,284.0,1900,1186.0,120,4,0,1,1,0,0,0,0,0
1179,13540,25990.0,90,4,13,1,647.0,2200,1195.0,190,4,0,0,0,1,0,0,0,0
219,13460,21100.0,192,4,11,1,353.0,2000,1195.0,160,4,0,0,1,0,0,0,0,0
569,10890,24050.0,90,2,11,1,332.0,1900,1195.0,160,4,0,0,1,0,0,0,0,0
4882,19210,22490.0,192,2,10,1,451.0,1900,1195.0,160,4,0,1,0,1,0,0,0,0
4379,25370,24750.0,192,2,13,1,374.0,1900,1170.0,120,4,0,1,0,0,0,0,0,0
3807,77370,28110.0,192,4,12,1,370.0,2000,1195.0,190,4,0,1,1,0,0,0,0,0
540,22050,23380.0,192,2,13,1,475.0,1900,1186.0,160,4,0,1,0,1,0,0,0,0
4355,52440,23580.0,192,3,13,1,516.0,2200,1250.0,80,4,1,1,0,1,1,0,0,0
2352,59730,26090.0,192,4,13,1,464.0,2200,1250.0,80,4,1,1,0,1,1,0,0,0
4091,11400,26910.0,110,3,11,1,372.0,1900,1195.0,160,4,0,0,1,0,0,0,0,0
1774,25850,27950.0,110,5,12,1,409.0,1800,1170.0,120,4,0,1,0,0,0,0,0,0
238,10230,23620.0,110,2,12,1,375.0,1900,1186.0,120,4,0,0,1,0,0,0,0,0
3306,15830,26300.0,192,5,13,1,579.0,1900,1186.0,120,4,0,0,0,1,0,0,0,0
5021,18020,21520.0,192,1,12,1,315.0,2000,1195.0,160,4,0,1,1,0,0,0,0,0
426,12130,28850.0,90,4,12,1,293.0,1800,1189.3311201542085,100,4,0,0,0,0,0,0,0,1
975,17360,24250.0,90,3,13,1,380.0,1800,1170.0,100,4,0,1,0,0,0,0,0,0
3167,48240,30130.0,192,3,12,1,419.0,2200,1195.0,210,4,0,1,1,0,1,0,0,0
2702,50860,23230.0,110,6,12,1,487.0,1800,1170.0,120,4,1,1,0,1,0,0,0,0
3600,18990,24970.0,90,5,12,1,514.0,2200,1250.0,80,4,0,1,0,1,1,0,0,0
2836,20260,23690.0,110,5,13,1,380.0,2200,1250.0,80,4,0,1,1,0,1,0,0,0
3232,14170,26270.0,90,6,12,1,632.0,1900,1186.0,160,4,0,0,0,1,0,0,0,0
916,38070,26590.0,192,1,13,2,390.0,1600,1165.0,100,2,0,1,0,0,0,0,0,0
291,16750,32120.0,90,1,11,1,375.0,1800,1165.0,100,2,0,1,0,0,0,0,0,0
3868,12880,22290.0,110,5,13,1,378.0,1900,1186.0,160,4,0,0,1,0,0,0,0,0
5122,61780,32200.0,192,4,12,1,354.0,1900,1189.3311201542085,120,4,0,1,1,0,0,0,0,1
4572,12940,27130.0,90,4,12,1,367.0,1800,1170.0,100,4,1,0,0,1,0,0,0,0
4363,54320,33250.0,192,4,13,1,420.51064684612294,2000,1195.0,160,4,1,1,1,0,0,0,1,0
178,23240,25580.0,110,5,11,1,409.0,1900,1186.0,120,4,0,1,1,0,0,0,0,0
58,15040,22410.0,192,6,11,1,600.0,1800,1165.0,100,2,0,0,0,1,0,0,0,0
327,20510,22710.0,90,3,13,1,420.51064684612294,1900,1186.0,120,4,0,1,1,0,0,0,1,0
3255,9520,112951.59803318992,110,1,13,1,612.0,1800,1170.0,100,4,0,0,0,1,0,1,0,0
2774,26600,31110.0,192,3,13,1,343.0,1900,1186.0,160,4,0,1,1,0,0,0,0,0
2872,48010,28680.0,90,6,12,1,602.0,2000,1189.3311201542085,190,4,0,1,0,1,0,0,0,1
1263,13060,31830.0,110,4,13,1,573.0,1900,1186.0,120,4,0,0,0,1,0,0,0,0
1254,27780,26500.0,192,4,13,2,391.0,1600,1165.0,100,2,0,1,0,0,0,0,0,0
1719,20060,24630.0,192,1,12,1,327.0,1900,1186.0,160,4,0,1,1,0,0,0,0,0
486,50740,27930.0,110,5,13,1,668.0,1900,1170.0,120,4,0,1,0,1,0,0,0,0
2086,21540,29610.0,110,4,14,2,363.0,1600,1165.0,100,2,0,1,0,0,0,0,0,0
614,14840,37580.0,192,6,13,1,621.0,2000,1195.0,190,4,0,0,0,1,0,0,0,0
3919,45020,31990.0,192,5,12,1,370.0,2200,1189.3311201542085,80,4,0,1,1,0,1,0,0,1
4536,30000,33120.0,110,4,12,1,471.0,1900,1186.0,120,4,0,1,1,0,0,0,0,0
5017,21930,38460.0,110,4,13,1,355.0,2200,1250.0,80,4,0,1,1,0,1,0,0,0
2844,43180,32580.0,110,5,12,1,423.0,2000,1189.3311201542085,190,4,0,1,1,0,0,0,0,1
2215,9980,112951.59803318992,90,5,12,1,343.0,1600,1165.0,100,2,0,0,0,0,0,1,0,0
5229,16840,35370.0,110,1,15,1,350.0,1800,1189.3311201542085,100,4,0,1,0,0,0,0,0,1
1673,14030,36150.0,192,6,12,1,380.0,1800,1170.0,120,4,0,0,0,0,0,0,0,0
5215,23340,29000.0,110,3,14,1,420.51064684612294,2000,1195.0,160,4,0,1,1,0,0,0,1,0
2547,26640,32770.0,192,2,13,1,364.0,1900,1186.0,120,4,0,1,1,0,0,0,0,0
3055,19640,29120.0,110,4,12,2,543.0,1600,1189.3311201542085,100,2,0,1,0,1,0,0,0,1
3481,21020,32840.0,110,4,15,1,488.0,1900,1170.0,120,4,0,1,0,1,0,0,0,0
715,12190,33970.0,90,1,13,1,324.0,2000,1195.0,190,4,0,0,1,0,0,0,0,0
1042,10850,29890.0,90,1,14,1,342.0,1800,1170.0,100,4,0,0,0,0,0,0,0,0
373,11570,37180.0,110,1,13,1,383.0,1800,1189.3311201542085,100,2,0,0,0,0,0,0,0,1
781,15180,34110.0,192,5,16,1,326.0,1900,1186.0,160,4,0,0,1,0,0,0,0,0
2040,13510,35940.0,192,2,13,1,510.0,1800,1170.0,120,4,0,0,0,1,0,0,0,0
2654,18340,31950.0,110,4,11,1,520.0,1800,1170.0,120,4,0,1,0,1,0,0,0,0
2313,13570,39830.0,90,6,12,1,302.0,1900,1186.0,160,4,0,0,1,0,0,0,0,0
5080,11130,112951.59803318992,90,4,13,2,365.0,1600,1165.0,100,2,0,0,0,0,0,1,0,0
38,17100,39900.0,90,1,12,1,549.0,1900,1186.0,120,4,0,1,0,1,0,0,0,0
1879,12010,43420.0,90,4,13,1,549.0,2200,1250.0,80,4,0,0,0,1,1,0,0,0
13,29440,112951.59803318992,90,5,14,1,393.0,1900,1186.0,160,4,0,1,1,0,0,1,0,0
1886,21040,32030.0,110,4,13,1,484.0,2000,1195.0,190,4,0,1,0,1,0,0,0,0
3528,18250,35250.0,70,4,13,1,368.0,2200,1250.0,80,4,1,1,1,0,1,0,0,0
906,20920,43790.0,192,1,13,1,420.51064684612294,1900,1186.0,160,4,0,1,1,0,0,0,1,0
3781,54480,29190.0,192,5,13,1,336.0,1800,1170.0,100,4,0,1,0,0,0,0,0,0
5072,16390,112951.59803318992,110,3,14,1,345.0,1900,1170.0,120,4,0,1,0,0,0,1,0,0
4967,11620,44600.0,192,2,15,1,375.0,2000,1195.0,190,4,0,0,1,0,0,0,0,0
2582,15420,32050.0,192,5,13,1,420.51064684612294,1800,1165.0,100,2,0,0,0,1,0,0,1,0
5205,11280,112951.59803318992,192,4,13,1,435.0,1800,1170.0,100,4,0,0,0,0,0,1,0,0
1680,26330,32420.0,90,6,14,1,469.0,1800,1170.0,120,4,1,1,0,1,0,0,0,0
3831,10940,40040.0,70,1,14,1,307.0,2000,1195.0,160,4,0,0,1,0,0,0,0,0
1901,20830,45680.0,90,6,15,1,309.0,1900,1186.0,120,4,0,1,1,0,0,0,0,0
250,22740,43400.0,90,4,14,2,329.0,1600,1165.0,100,2,0,1,0,0,0,0,0,0
713,24800,34290.0,70,5,14,1,376.0,1800,1170.0,120,4,1,1,0,0,0,0,0,0
2770,12190,33140.0,110,3,14,1,496.0,1900,1189.3311201542085,120,4,0,0,0,1,0,0,0,1
3332,18220,32480.0,110,4,14,1,503.0,2200,1195.0,190,4,0,1,0,1,0,0,0,0
2889,21250,44000.0,192,3,14,1,402.0,2200,1195.0,190,4,0,1,1,0,0,0,0,0
1787,24050,41670.0,192,2,13,1,342.0,2200,1195.0,210,4,1,1,1,0,1,0,0,0
979,20350,47230.0,90,3,16,1,361.0,1800,1170.0,120,4,1,1,0,0,0,0,0,0
337,19800,43830.0,90,3,14,1,355.0,1800,1170.0,120,4,0,1,0,0,0,0,0,0
4234,16840,34370.0,192,1,15,1,470.0,1900,1186.0,120,4,0,1,0,1,0,0,0,0
3584,15410,45890.0,192,5,15,1,455.0,1900,1170.0,120,4,0,0,0,1,0,0,0,0
3120,21720,38320.0,192,3,15,1,297.0,2000,1195.0,190,4,0,1,1,0,0,0,0,0
4134,20120,48540.0,90,5,14,1,372.0,1900,1186.0,160,4,0,1,1,0,0,0,0,0
2662,16530,45440.0,192,1,16,1,378.0,2000,1195.0,160,4,1,1,1,0,0,0,0,0
1176,24570,41270.0,192,2,15,1,476.0,1900,1186.0,160,4,0,1,0,1,0,0,0,0
2616,12080,49160.0,90,4,14,1,420.51064684612294,2000,1195.0,190,4,0,0,1,0,0,0,1,0
492,12050,34190.0,110,2,16,1,413.0,1900,1170.0,120,4,0,0,0,0,0,0,0,0
563,25160,43720.0,90,4,16,1,561.0,2000,1195.0,160,4,0,1,0,1,0,0,0,0
471,39500,33910.0,70,3,14,1,314.0,1900,1189.3311201542085,160,4,0,1,1,0,0,0,0,1
4573,16630,49220.0,70,3,15,1,419.0,2200,1195.0,210,4,0,1,0,1,1,0,0,0
1327,23770,44190.0,90,3,14,1,372.0,1900,1186.0,160,4,0,1,1,0,0,0,0,0
1542,13010,39390.0,90,5,15,1,319.0,2000,1195.0,190,4,0,0,1,0,0,0,0,0
3370,12240,45500.0,90,2,15,1,354.0,1800,1165.0,100,2,0,0,0,0,0,0,0,0
733,20080,37170.0,90,6,15,2,342.0,1600,1165.0,100,2,0,1,0,0,0,0,0,0
2986,17920,33710.0,90,4,15,1,547.0,2200,1195.0,190,4,0,1,0,1,0,0,0,0
4371,17160,38200.0,110,2,15,1,516.0,2000,1195.0,160,4,0,1,0,1,0,0,0,0
2628,21960,49370.0,192,3,14,2,333.0,1600,1189.3311201542085,100,2,0,1,0,0,0,0,0,1
5043,15140,39010.0,192,4,14,1,420.51064684612294,2200,1195.0,210,4,0,0,1,0,0,0,1,0
3846,13170,39820.0,90,5,16,1,347.0,1900,1170.0,120,4,0,0,0,0,0,0,0,0
3204,12610,34480.0,90,5,16,1,295.0,1900,1170.0,120,4,0,0,0,0,0,0,0,0
4333,58410,46290.0,192,3,15,1,311.0,1900,1186.0,160,4,1,1,1,0,0,0,0,0
285,26650,47160.0,192,4,13,1,476.0,2000,1195.0,190,4,0,1,0,1,0,0,0,0
3495,16890,46540.0,70,2,14,1,288.0,1900,1170.0,120,4,0,1,0,0,0,0,0,0
259,24610,43250.0,192,4,15,1,461.0,1800,1170.0,100,4,0,1,0,1,0,0,0,0
827,24420,46530.0,110,6,15,1,541.0,2000,1195.0,160,4,0,1,0,1,0,0,0,0
